Size, Traditional, Vedic
21,5560,4377
22,6943,6042
23,9017,6888
24,11772,13305
25,11234,8478
26,14416,16122
27,16055,14066
28,15378,15030
29,18071,14646
30,23175,23311
31,20173,18579
32,23725,24788
33,29392,38775
34,28500,39921
35,29483,35476
36,32573,35903
37,33947,44432
38,34902,50119
39,41133,61243
40,44234,102430
41,43197,56197
42,40177,61924
43,43476,45891
44,44440,47676
45,48039,44364
46,50302,59917
47,53191,61538
48,56558,56630
49,58392,65990
50,54632,55438
51,65276,47135
52,61608,77198
53,66444,45291
54,65632,63756
55,64699,47361
56,66957,48571
57,73533,64576
58,71152,62652
59,77368,81736
60,81078,65858
61,79959,64002
62,83219,72952
63,84565,76936
64,82556,44888
65,88264,51381
66,90759,66082
67,90991,69558
68,93636,65388
69,95206,79483
70,97025,77061
71,102012,60834
72,101346,55446
73,101068,48312
74,106597,65395
75,107862,67358
76,106347,64376
77,113748,93478
78,114910,86176
79,110197,72795
80,110683,58500
81,112795,74798
82,126192,118716
83,124425,104152
84,126248,76340
85,124953,56515
86,125510,100220
87,125886,87125
88,129074,84599
89,129329,58655
90,138370,82366
91,131446,61840
92,142058,89432
93,141811,82745
94,147407,82839
95,141670,102001
96,147366,78146
97,145503,72971
98,148788,94355
99,147350,110192
100,151108,77705
101,156397,80309
102,152022,85349
103,153845,75650
104,161158,93359
105,161115,101928
106,160004,99132
107,164968,91888
108,170006,78318
109,172799,106766
110,179733,99550
111,174207,83742
112,171294,76574
113,183115,99197
114,178581,76433
115,186102,106054
116,185182,109492
117,194454,135651
118,186013,80252
119,191418,86642
120,192437,91846
121,187666,90949
122,192799,90735
123,194959,73020
124,201196,91760
125,204593,107621
126,206157,120650
127,202753,103455
128,212428,115296
129,211011,124085
130,211689,97142
131,210848,101847
132,209334,89820
133,227376,130940
134,219758,93547
135,222050,119814
136,220113,127105
137,223694,96842
138,230517,107250
139,219998,81406
140,234204,92015
141,232392,115773
142,234110,91394
143,251816,127607
144,242096,113490
145,245630,131551
146,235592,105967
147,242754,115256
148,247575,130438
149,250042,120838
150,253933,114777
151,253770,133593
152,247909,108460
153,249486,99400
154,252682,120872
155,259123,110597
156,258052,113305
157,259642,124819
158,258937,129247
159,266815,112568
160,265921,126369
161,266760,137468
162,276651,122021
163,272502,121049
164,273155,120709
165,272378,142700
166,282880,143532
167,281394,145183
168,274634,104940
169,289313,129592
170,282018,119586
171,295297,106490
172,296734,118523
173,297369,132393
174,295826,123358
175,297169,153107
176,291088,128319
177,301828,98968
178,308485,119728
179,306227,127219
180,300502,134851
181,307976,141702
182,307595,119114
183,304474,158887
184,322953,142638
185,317610,127509
186,305730,127169
187,321909,139415
188,307152,112248
189,333956,146720
190,327448,132060
191,318537,133597
192,329387,117671
193,320185,152592
194,333440,152798
195,332216,131092
196,332523,130215
197,326276,133596
198,344424,142904
199,342873,169195
200,341777,155347
201,354610,183915
202,356455,157498
203,356030,128970
204,348778,131133
205,355312,145364
206,361650,127352
207,353917,136543
208,358763,142666
209,351658,113801
210,360868,146350
211,372385,170716
212,364174,145621
213,373186,143124
214,372646,142315
215,369465,143892
216,378887,147170
217,377595,123224
218,380455,172919
219,373684,172136
220,389105,165562
221,381886,130010
222,383165,173693
223,391378,191219
224,387597,166900
225,393169,145357
226,395664,165686
227,398289,158702
228,395639,126916
229,403571,161677
230,410992,150823
231,402106,145064
232,395887,162125
233,406313,160233
234,392688,137419
235,411982,162783
236,414120,178145
237,420940,166758
238,413143,175376
239,408181,129840
240,427094,172949
241,412352,169081
242,431047,186017
243,420712,137800
244,431088,165036
245,428939,161835
246,426265,154705
247,431900,185225
248,437794,143256
249,433190,161085
250,439401,167830
